generateur(GEN1,50).
generateur(GEN3,40).
generateur(GEN2,60).
generateur(GEN4,10).
maison(MAISON3,BASSE).
maison(MAISON4,FORTE).
maison(MAISON1,NORMAL).
maison(MAISON2,NORMAL).
maison(MAISON9,BASSE).
maison(MAISON7,BASSE).
maison(MAISON8,NORMAL).
maison(MAISON5,NORMAL).
maison(MAISON6,BASSE).
connexion(GEN1,MAISON3).
connexion(GEN1,MAISON4).
connexion(GEN2,MAISON1).
connexion(GEN2,MAISON2).
connexion(GEN3,MAISON9).
connexion(GEN3,MAISON7).
connexion(GEN2,MAISON8).
connexion(GEN3,MAISON5).
connexion(GEN4,MAISON6).
